"ID";"Territory";"ReportingPeriod";"global_id";"QuantityInThousandPeoples";"MoscowRelativeShare";
"1";"Центральный административный округ";"2015";"39811634";"439.3";"6.0";
"2";"Северный административный округ";"2015";"39811635";"678.6";"9.3";
"3";"Северо-Восточный административный округ";"2015";"39811636";"844.6";"11.5";
"4";"Восточный административный округ";"2015";"39811637";"896.0";"12.2";
"5";"Юго-Восточный административный округ";"2015";"39811638";"827.3";"11.3";
"6";"Южный административный округ";"2015";"39811639";"1080.2";"14.8";
"7";"Юго-Западный административный округ";"2015";"39811640";"856.3";"11.7";
"8";"Западный административный округ";"2015";"39811641";"818.3";"11.2";
"9";"Северо-Западный административный округ";"2015";"64592382";"580.2";"7.9";
"10";"Зеленоградский административный округ";"2015";"64592383";"137.9";"1.9";
"11";"Троицкий и Новомосковский административные округа";"2015";"64592384";"163.2";"2.2";
"13";"город Москва";"2015";"64592385";"7321.9";"100.0";
"14";"Центральный административный округ";"2016";"144557488";"442.1";"3.5";
"15";"Северный административный округ";"2016";"144557489";"679.4";"5.4";
"16";"Северо-Восточный административный округ";"2016";"144557490";"833.2";"6.7";
"17";"Восточный административный округ";"2016";"144557491";"882.2";"7.1";
"18";"Юго-Восточный административный округ";"2016";"144557492";"807.8";"6.5";
"19";"Южный административный округ";"2016";"144557493";"1056.0";"8.5";
"20";"Юго-Западный административный округ";"2016";"144557494";"834.0";"6.7";
"21";"Западный административный округ";"2016";"144557495";"809.3";"6.5";
"22";"Северо-Западный административный округ";"2016";"144557496";"574.3";"4.6";
"23";"Зеленоградский административный округ";"2016";"144557497";"136.4";"1.1";
"24";"Троицкий и Новомосковский административные округа";"2016";"144557498";"190.5";"1.5";
"25";"город Москва";"2016";"144557554";"7246.2";"100.0";
"26";"город Москва";"2017";"918869436";"7224.5";"57.77";
